user : 1990887961 (x,z,rotation)
-4.177416,-0.857945,-100.141968
-4.177416,-0.857942,-94.641968
-4.177416,-0.857939,-88.741974
-4.177416,-0.857936,-86.441971
-4.177416,-0.857933,-79.241966
-4.177416,-0.85793,-74.041969
-4.177416,-0.857927,-68.941971
-4.177416,-0.857924,-63.141968
-4.177416,-0.857921,-57.941967
-4.177417,-0.857919,-53.74197
-4.177417,-0.857916,-53.74197
-4.177418,-0.857914,-45.541969
-4.177418,-0.857913,-44.041973
-4.177419,-0.857911,-41.441967
-4.17742,-0.857909,-37.941975
-4.17742,-0.857908,-35.441971
-4.177421,-0.857906,-32.741974
-4.177421,-0.857904,-29.841969
-4.177422,-0.857903,-26.541971
-4.177423,-0.857901,-23.741972
-4.177423,-0.857899,-18.741974
-4.177424,-0.857898,-17.341974
-4.177425,-0.857896,-11.741974
-4.177425,-0.857894,-7.541974
-4.177425,-0.857892,-3.541975
-4.177426,-0.857891,0.558025
-4.177426,-0.857889,4.058025
-4.177427,-0.857887,8.458025
-4.177427,-0.857885,12.358025
-4.177428,-0.857882,16.658028
-4.177428,-0.85788,22.158024
-4.177429,-0.857877,26.058027
-4.17743,-0.857874,29.658026
-4.177431,-0.857871,32.558025
-4.177432,-0.857868,34.758026
-4.177433,-0.857865,36.158024
-4.177434,-0.857863,37.358025
-4.177435,-0.85786,37.458023
-4.177436,-0.857856,37.058025
-4.177437,-0.857853,36.958023
-4.177439,-0.85785,36.558022
-4.17744,-0.857847,36.158016
-4.177442,-0.857844,35.558022
-4.177443,-0.857841,35.058014
-4.177444,-0.857837,33.358017
-4.177444,-0.857834,32.65802
-4.177445,-0.85783,29.858017
-4.177446,-0.857827,28.258018
-4.177447,-0.857824,25.258017
-4.177448,-0.857818,22.958017
-4.177449,-0.857815,20.25802
-4.17745,-0.857811,17.658018
-4.177451,-0.857807,12.758018
-4.177452,-0.857804,9.558018
-4.177453,-0.8578,5.958019
-4.177453,-0.857796,1.858019
-4.177453,-0.857792,-2.441981
-4.177453,-0.857789,-10.14198
-4.177453,-0.857785,-15.441978
-4.177453,-0.857781,-18.241985
-4.177453,-0.857776,-23.241982
-4.177452,-0.857772,-30.141983
-4.177452,-0.857766,-34.741982
-4.177451,-0.857761,-39.141983
-4.177451,-0.857756,-43.641983
-4.17745,-0.857752,-48.241985
-4.177449,-0.857747,-54.141975
-4.177449,-0.857742,-55.84198
-4.177448,-0.857738,-60.841976
-4.177448,-0.857733,-62.84198
-4.177448,-0.857729,-67.641975
-4.177448,-0.857724,-70.84198
-4.177448,-0.85772,-74.441986
-4.177448,-0.857716,-76.241989
-4.177448,-0.857711,-77.84198
-4.177448,-0.857707,-79.441986
-4.177448,-0.857703,-81.241982
-4.177448,-0.857699,-83.041985
-4.177448,-0.857694,-85.541985
-4.177447,-0.85769,-86.34198
-4.177447,-0.857686,-88.641975
-4.177447,-0.857682,-90.34198
-4.177447,-0.857677,-92.741982
-4.177447,-0.857673,-95.641983
-4.177447,-0.857669,-98.741982
-4.177447,-0.857666,-103.441986
-4.177448,-0.857663,-105.341988
-4.177448,-0.85766,-111.241989
-4.177449,-0.857657,-115.341972
-4.177449,-0.857655,-118.941971
-4.17745,-0.857652,-122.441978
-4.17745,-0.857649,-125.841988
-4.17745,-0.857646,-129.041977
-4.17745,-0.857642,-132.241974
-4.17745,-0.857639,-135.741974
-4.17745,-0.857635,-136.941971
-4.17745,-0.857632,-139.041977
-4.17745,-0.857628,-141.34198
-4.17745,-0.857624,-142.541977
-4.17745,-0.85762,-143.741989
-4.177449,-0.857616,-144.941971
-4.177449,-0.857612,-147.141968
-4.177448,-0.857604,-148.941971
-4.177448,-0.8576,-149.541977
-4.177448,-0.857596,-150.941971
-4.177448,-0.857592,-151.34198
-4.177448,-0.857588,-151.641968
-4.177447,-0.857583,-151.841965
-4.177447,-0.857579,-151.841965
-4.177447,-0.857575,-151.841965
-4.177447,-0.857571,-151.841965
-4.177447,-0.857567,-151.841965
-4.177447,-0.857563,-151.841965
-4.177447,-0.857559,-151.841965
-4.177447,-0.857555,-151.841965
-4.177447,-0.857552,-151.841965
-4.177447,-0.857548,-151.841965
-4.177447,-0.857545,-151.841965
-4.177447,-0.857542,-151.841965
-4.177448,-0.857539,-151.841965
-4.177448,-0.857536,-151.841965
-4.177448,-0.857533,-151.841965
-4.177448,-0.85753,-151.841965
