user : 1348358217 (x,z,rotation)
-7.64753,0.737466,0
-7.647521,0.737463,0
-7.647518,0.737461,0
-7.647518,0.737461,0
-7.647516,0.73746,0
-7.647515,0.737458,0
-7.647513,0.737457,0
-7.647511,0.737456,0
-7.647509,0.737455,0
-7.647506,0.737454,0
-7.647504,0.737453,0
-7.647501,0.737452,0
-7.647499,0.737451,0
-7.647496,0.737451,0
-7.647493,0.737451,0
-7.647491,0.737451,0
-7.647487,0.737451,0
-7.647484,0.737451,0
-7.64748,0.737452,0
-7.647477,0.737452,0
-7.647474,0.737452,0
-7.64747,0.737453,0
-7.647466,0.737453,0
-7.647462,0.737454,0
-7.647458,0.737454,0
-7.647454,0.737455,0
-7.64745,0.737455,0
-7.647446,0.737455,0
-7.647441,0.737456,0
-7.647437,0.737456,0
-7.647433,0.737456,0
-7.647429,0.737457,0
-7.647425,0.737458,0
-7.64742,0.737458,0
-7.647415,0.737459,0
-7.64741,0.73746,0
-7.647406,0.737461,0
-7.647401,0.737462,0
-7.647396,0.737463,0
-7.647391,0.737464,0
-7.647386,0.737465,0
-7.647381,0.737466,0
-7.647375,0.737467,0
-7.647369,0.737468,0
-7.647364,0.737469,0
-7.647359,0.73747,0
-7.647354,0.737471,0
-7.647348,0.737471,0
-7.647343,0.737472,0
-7.647338,0.737472,0
-7.647333,0.737472,0
-7.647327,0.737472,0
-7.647322,0.737473,0
-7.647317,0.737473,0
-7.647312,0.737473,0
-7.647307,0.737472,0
-7.647303,0.737472,0
-7.647298,0.737471,0
-7.647294,0.73747,0
-7.647289,0.737469,0
-7.647285,0.737468,0
-7.647281,0.737467,0
-7.647277,0.737466,0
-7.647274,0.737465,0
-7.64727,0.737463,0
-7.647266,0.737462,0
-7.647262,0.73746,0
-7.647258,0.737459,0
-7.647255,0.737458,0
-7.647252,0.737456,0
-7.647248,0.737454,0
-7.647244,0.737452,0
-7.64724,0.737451,0
-7.647236,0.737449,0
-7.647232,0.737448,0
-7.647228,0.737447,0
-7.647224,0.737446,0
-7.647221,0.737445,0
-7.647216,0.737444,0
-7.647212,0.737444,0
-7.647208,0.737443,0
-7.647204,0.737443,0
-7.647199,0.737443,0
-7.647194,0.737443,0
-7.647189,0.737443,0
-7.647184,0.737443,0
-7.647179,0.737442,0
-7.647173,0.737442,0
-7.647168,0.737442,0
-7.647163,0.737442,0
-7.647157,0.737441,0
-7.647152,0.737441,0
-7.647146,0.737441,0
-7.647141,0.73744,0
-7.647295,0.744105,0
-7.647466,0.751534,0
-7.647654,0.759694,0
-7.647859,0.768555,0
-7.648078,0.77809,0
-7.648314,0.788268,0
-7.648563,0.799063,0
-7.648826,0.81045,0
-7.649102,0.822404,0
-7.64939,0.834901,0
-7.649691,0.847919,0
-7.650002,0.861436,0
-7.650325,0.875431,0
-7.650659,0.889884,0
-7.651003,0.904777,0
-7.651356,0.92009,0
-7.651719,0.935806,0
-7.652091,0.95191,0
-7.652471,0.968383,0
-7.65286,0.985212,0
-7.653256,1.002381,0
-7.65366,1.019876,0
-7.654071,1.037683,0
-7.654489,1.055789,0
-7.654913,1.074183,0
-7.655344,1.092851,0
-7.655781,1.111783,0
-7.656224,1.130968,0
-7.656672,1.150395,0
-7.657126,1.170053,0
-7.657585,1.189934,0
-7.658049,1.210028,0
-7.658517,1.230327,0
-7.65899,1.250821,0
-7.659467,1.271502,0
-7.659948,1.292363,0
-7.660434,1.313396,0
-7.660923,1.334594,0
-7.661416,1.355951,0
-7.661912,1.377459,0
-7.662412,1.399112,0
-7.662914,1.420904,0
-7.66342,1.44283,0
-7.663929,1.464884,0
-7.664441,1.48706,0
-7.664955,1.509353,0
-7.665473,1.531758,0
-7.665992,1.554271,0
-7.666513,1.576889,0
-7.667037,1.599605,0
-7.667564,1.622416,0
-7.668093,1.645317,0
-7.668622,1.668306,0
-7.669138,1.691379,0
-7.669626,1.714532,0
-7.670066,1.737762,0
-7.670442,1.761064,0
-7.670732,1.784435,0
-7.67091,1.807869,0
-7.670969,1.831362,0
-7.67089,1.854909,0
-7.670648,1.878503,0
-7.670226,1.902138,0
-7.669613,1.925809,0
-7.668807,1.949512,0
-7.667809,1.973245,0
-7.666623,1.997004,0
-7.665257,2.02079,0
-7.663714,2.0446,0
-7.662004,2.068433,0
-7.660133,2.092289,0
-7.658107,2.116166,0
-7.655934,2.140064,0
-7.65362,2.163982,0
-7.651169,2.187918,0
-7.648589,2.211873,0
-7.645884,2.235844,0
-7.643059,2.259833,0
-7.64012,2.283837,0
-7.63642,2.307395,0
-7.631993,2.330524,0
-7.626867,2.353244,0
-7.621073,2.37557,0
-7.614637,2.397519,0
-7.607587,2.419107,0
-7.599948,2.44035,0
-7.591745,2.46126,0
-7.583002,2.481853,0
-7.57374,2.502141,0
-7.563982,2.522136,0
-7.553747,2.541852,0
-7.543056,2.561301,0
-7.531929,2.580492,0
-7.520383,2.599437,0
-7.508436,2.618146,0
-7.496103,2.636629,0
-7.483402,2.654895,0
-7.470348,2.672954,0
-7.456958,2.690818,0
-7.443252,2.708505,0
-7.429249,2.726032,0
-7.41497,2.743414,0
-7.400429,2.760665,0
-7.385642,2.777797,0
-7.370625,2.794823,0
-7.355395,2.811757,0
-7.33997,2.828614,0
-7.324374,2.845421,0
-7.308628,2.862195,0
-7.29275,2.878952,0
-7.27676,2.895706,0
-7.260672,2.912471,0
-7.244505,2.929262,0
-7.228276,2.946089,0
-7.211998,2.962965,0
-7.195681,2.979891,0
-7.17933,2.996872,0
-7.162952,3.013908,0
-7.14655,3.031,0
-7.130127,3.048148,0
-7.113685,3.065349,0
-7.097223,3.082601,0
-7.080744,3.099903,0
-7.064249,3.117251,0
-7.047736,3.134644,0
-7.03196,3.152353,0
-7.016888,3.170365,0
-7.002491,3.188667,0
-6.988742,3.207246,0
-6.975614,3.226093,0
-6.96308,3.245195,0
-6.951117,3.264541,0
-6.939699,3.284122,0
-6.928805,3.303928,0
-6.918412,3.323949,0
-6.908501,3.344176,0
-6.899049,3.364601,0
-6.890039,3.385216,0
-6.881453,3.406012,0
-6.873271,3.426982,0
-6.865479,3.448119,0
-6.858058,3.469416,0
-6.850995,3.490866,0
-6.844274,3.512463,0
-6.83788,3.534201,0
-6.8318,3.556073,0
-6.826021,3.578075,0
-6.82053,3.6002,0
-6.815316,3.622445,0
-6.810367,3.644803,0
-6.805672,3.66727,0
-6.801219,3.689841,0
-6.797724,3.712173,0
-6.795146,3.734274,0
-6.793445,3.756155,0
-6.792591,3.77782,0
-6.792552,3.799273,0
-6.793302,3.820513,0
-6.79482,3.841537,0
-6.797087,3.862338,0
-6.800093,3.882896,0
-6.803825,3.903198,0
-6.8076,3.923676,0
-6.811434,3.94432,0
-6.815343,3.965119,0
-6.819345,3.98606,0
-6.823462,4.007133,0
-6.827711,4.028323,0
-6.832129,4.049613,0
-6.83674,4.070988,0
-6.841563,4.092431,0
-6.846619,4.113928,0
-6.851929,4.135462,0
-6.857503,4.15702,0
-6.863348,4.178591,0
-6.869464,4.20017,0
-6.875841,4.221755,0
-6.882473,4.243342,0
-6.889357,4.264928,0
-6.896497,4.286504,0
-6.903901,4.308058,0
-6.911576,4.329579,0
-6.919529,4.351057,0
-6.927764,4.372482,0
-6.936291,4.393839,0
-6.945116,4.415118,0
-6.954243,4.436308,0
-6.963677,4.457399,0
-6.973421,4.478378,0
-6.983479,4.499237,0
-6.993867,4.51995,0
-7.004589,4.540506,0
-7.015649,4.560889,0
-7.027049,4.58109,0
-7.038791,4.601095,0
-7.050882,4.620885,0
-7.063327,4.640441,0
-7.076128,4.65975,0
-7.08929,4.678786,0
-7.102813,4.697537,0
-7.116692,4.715997,0
-7.130925,4.734153,0
-7.145508,4.751994,0
-7.160435,4.769516,0
-7.175701,4.78671,0
-7.191299,4.803571,0
-7.207219,4.820104,0
-7.223451,4.836316,0
-7.239983,4.852214,0
-7.256806,4.867803,0
-7.273911,4.88309,0
-7.291286,4.898081,0
-7.308927,4.912777,0
-7.326822,4.927185,0
-7.344964,4.941308,0
-7.363345,4.955152,0
-7.381958,4.968719,0
-7.400794,4.982016,0
-7.419846,4.995045,0
-7.439108,5.007811,0
-7.458575,5.02031,0
-7.47824,5.032547,0
-7.498098,5.044517,0
-7.518145,5.056221,0
-7.538374,5.067655,0
-7.558783,5.078817,0
-7.579367,5.089694,0
-7.600121,5.100286,0
-7.620876,5.110877,0
-7.641959,5.120869,0
-7.663199,5.130564,0
-7.68459,5.13996,0
-7.706127,5.149059,0
-7.727805,5.157863,0
-7.749619,5.166375,0
-7.771563,5.174603,0
-7.786853,5.182547,0
-7.786858,5.190213,0
-7.786858,5.197602,0
-7.786859,5.204991,0
-7.786863,5.21182,0
-7.786865,5.218379,0
-7.786869,5.22466,0
-7.786868,5.230668,0
-7.786868,5.236405,0
-7.786866,5.241875,0
-7.786864,5.247083,0
-7.786864,5.25229,0
-7.787545,5.258914,0
-7.787563,5.264611,0
-7.788404,5.27198,0
-7.788875,5.277709,0
-7.789289,5.28446,0
-7.789888,5.290309,0
-7.790878,5.29591,0
-7.791778,5.30275,0
-7.792926,5.309836,0
-7.794186,5.316724,0
-7.795499,5.323563,0
-7.79697,5.331035,0
-7.798753,5.338331,0
-7.801075,5.346928,0
-7.803928,5.355255,0
-7.806462,5.364802,0
-7.809568,5.373243,0
-7.81212,5.381867,0
-7.816554,5.391617,0
-7.82104,5.401829,0
-7.825827,5.412574,0
-7.83091,5.422952,0
-7.836532,5.432854,0
-7.843081,5.444605,0
-7.850208,5.4564,0
-7.858267,5.468091,0
-7.867013,5.479928,0
-7.876473,5.492222,0
-7.887097,5.50458,0
-7.898938,5.516468,0
-7.911315,5.529476,0
-7.925617,5.542188,0
-7.940843,5.554471,0
-7.95735,5.566303,0
-7.974441,5.577402,0
-7.993359,5.588684,0
-8.013142,5.59827,0
-8.034152,5.607513,0
-8.056067,5.615522,0
-8.078775,5.621788,0
-8.102563,5.627262,0
-8.126579,5.630735,0
-8.151129,5.63348,0
-8.175731,5.634155,0
-8.200386,5.634458,0
-8.225038,5.634133,0
-8.249681,5.633988,0
-8.274309,5.633861,0
-8.298919,5.633804,0
-8.323507,5.633734,0
-8.348075,5.633646,0
-8.372619,5.633475,0
-8.397138,5.633408,0
-8.42163,5.633318,0
-8.446095,5.633089,0
-8.470529,5.632932,0
-8.494925,5.632772,0
-8.51928,5.63261,0
-8.543589,5.632424,0
-8.567845,5.632264,0
-8.592045,5.63202,0
-8.616183,5.63189,0
-8.640249,5.631743,0
-8.664316,5.631793,0
-8.688232,5.63168,0
-8.712076,5.631616,0
-8.735843,5.631552,0
-8.759533,5.631471,0
-8.783145,5.631284,0
-8.80668,5.631257,0
-8.830132,5.631185,0
-8.853501,5.631137,0
-8.876786,5.631046,0
-8.899987,5.630929,0
-8.923188,5.630972,0
-8.946219,5.630896,0
-8.969251,5.630897,0
-8.992115,5.630678,0
-9.014897,5.630671,0
-9.03759,5.630658,0
-9.060193,5.630642,0
-9.082709,5.630642,0
-9.104712,5.632793,0
-9.126507,5.634757,0
-9.14848,5.634935,0
-9.170446,5.636257,0
-9.19277,5.634772,0
-9.215178,5.634832,0
-9.23748,5.632336,0
-9.259517,5.631064,0
-9.281434,5.631066,0
-9.303223,5.630455,0
-9.324949,5.630446,0
-9.346613,5.630435,0
-9.368214,5.630423,0
-9.389753,5.630425,0
-9.411235,5.630426,0
-9.432659,5.630428,0
-9.454027,5.630409,0
-9.475345,5.630408,0
-9.496611,5.630418,0
-9.517829,5.630419,0
-9.539,5.63042,0
-9.560125,5.630413,0
-9.581209,5.630374,0
-9.602293,5.63042,0
-9.623294,5.630421,0
-9.644258,5.630421,0
-9.665184,5.6304,0
-9.686076,5.630418,0
-9.706937,5.630364,0
-9.727761,5.630355,0
-9.748555,5.630359,0
-9.76932,5.630417,0
-9.790059,5.630414,0
-9.810771,5.630421,0
-9.831457,5.630421,0
-9.852118,5.63042,0
-9.872755,5.63042,0
-9.89337,5.630418,0
-9.913962,5.630417,0
-9.934534,5.630414,0
-9.955086,5.630412,0
-9.975637,5.630412,0
-9.996152,5.630403,0
-10.016649,5.630396,0
-10.03713,5.63039,0
-10.057594,5.630382,0
-10.078043,5.630372,0
-10.098477,5.63036,0
-10.118897,5.630345,0
-10.139304,5.63033,0
-10.159696,5.630421,0
-10.180087,5.630422,0
-10.200968,5.629325,0
-10.222725,5.627496,0
-10.245356,5.624316,0
-10.267937,5.619741,0
-10.290701,5.61332,0
-10.313688,5.606247,0
-10.336357,5.596827,0
-10.358472,5.586066,0
-10.380223,5.574225,0
-10.401342,5.560987,0
-10.421614,5.546504,0
-10.441885,5.532022,0
-10.462149,5.517522,0
-10.482399,5.502992,0
-10.502642,5.488448,0
-10.522843,5.473845,0
-10.542986,5.459163,0
-10.563051,5.444382,0
-10.583024,5.429487,0
-10.602885,5.414462,0
-10.622626,5.399297,0
-10.642242,5.383992,0
-10.661727,5.368538,0
-10.681067,5.35293,0
-10.700253,5.337158,0
-10.719263,5.321211,0
-10.73809,5.305081,0
-10.756718,5.288763,0
-10.775135,5.27225,0
-10.793332,5.255539,0
-10.811298,5.238625,0
-10.829017,5.221503,0
-10.846473,5.204168,0
-10.863655,5.186617,0
-10.880554,5.16885,0
-10.897149,5.150862,0
-10.913432,5.132653,0
-10.929398,5.114226,0
-10.945039,5.095582,0
-10.960348,5.076724,0
-10.975318,5.057653,0
-10.989949,5.038375,0
-11.004246,5.018896,0
-11.018217,4.999222,0
-11.031857,4.979357,0
-11.045151,4.959302,0
-11.058086,4.939059,0
-11.07065,4.918633,0
-11.082839,4.898025,0
-11.094661,4.877244,0
-11.106126,4.856297,0
-11.117245,4.835189,0
-11.128031,4.813927,0
-11.138495,4.792517,0
-11.148653,4.770966,0
-11.158516,4.749279,0
-11.168096,4.727462,0
-11.177404,4.70552,0
-11.186454,4.683458,0
-11.195254,4.661282,0
-11.203816,4.638997,0
-11.212151,4.616606,0
-11.220265,4.594114,0
-11.22817,4.571526,0
-11.235875,4.548845,0
-11.243387,4.526075,0
-11.250714,4.503221,0
-11.257864,4.480285,0
-11.264013,4.457536,0
-11.269203,4.434966,0
-11.273474,4.412568,0
-11.276864,4.390334,0
-11.279409,4.368258,0
-11.281146,4.346334,0
-11.282107,4.324554,0
-11.282326,4.302913,0
-11.281832,4.281405,0
-11.280656,4.260025,0
-11.278826,4.238767,0
-11.276368,4.217626,0
-11.273311,4.196596,0
-11.269677,4.175674,0
-11.265492,4.154856,0
-11.260779,4.134136,0
-11.255559,4.113511,0
-11.249853,4.092977,0
-11.243682,4.07253,0
-11.237065,4.052166,0
-11.230021,4.031881,0
-11.222569,4.011672,0
-11.214725,3.991536,0
-11.206491,3.971484,0
-11.197867,3.951525,0
-11.188858,3.931671,0
-11.179465,3.91193,0
-11.169692,3.892312,0
-11.15954,3.872828,0
-11.149012,3.853489,0
-11.138115,3.834296,0
-11.126862,3.815249,0
-11.115263,3.796345,0
-11.104111,3.777188,0
-11.093388,3.757788,0
-11.083075,3.738155,0
-11.073153,3.718299,0
-11.063609,3.69823,0
-11.054426,3.677956,0
-11.045589,3.657485,0
-11.037084,3.636827,0
-11.028895,3.615988,0
-11.021011,3.594976,0
-11.013421,3.573799,0
-11.006125,3.552463,0
-10.999124,3.530973,0
-10.992422,3.509339,0
-10.986034,3.487564,0
-10.979981,3.465657,0
-10.974285,3.443626,0
-10.968962,3.421481,0
-10.964046,3.399234,0
-10.959551,3.376894,0
-10.955495,3.354475,0
-10.951892,3.331987,0
-10.948751,3.309442,0
-10.946089,3.286855,0
-10.943928,3.264244,0
-10.942282,3.241623,0
-10.941074,3.225034,0
-10.940188,3.212869,0
-10.939539,3.203948,0
-10.939063,3.197405,0
-10.938714,3.192608,0
-10.938457,3.18909,0
-10.93827,3.18651,0
-10.938131,3.184618,0
-10.93803,3.18323,0
-10.937929,3.181843,0
-10.937875,3.181097,0
-10.937835,3.180549,0
-10.938413,3.179185,0
-10.939589,3.177043,0
-10.941343,3.174158,0
-10.943661,3.170568,0
-10.946523,3.166307,0
-10.949912,3.161407,0
-10.953815,3.155899,0
-10.958212,3.149814,0
-10.96309,3.143179,0
-10.967968,3.136544,0
-10.973764,3.128893,0
-10.979994,3.120767,0
-10.985861,3.111942,0
-10.991387,3.102448,0
-10.995912,3.092651,0
-10.999478,3.082559,0
-11.002131,3.072182,0
-11.003911,3.061525,0
-11.004862,3.050596,0
-11.005022,3.0394,0
-11.004429,3.027945,0
-11.003119,3.016234,0
-11.001126,3.004277,0
-10.998482,2.992079,0
-10.995216,2.979648,0
-10.99136,2.966988,0
-10.986943,2.954105,0
-10.981995,2.941001,0
-10.976542,2.927682,0
-10.97061,2.914151,0
-10.964228,2.900411,0
-10.957418,2.886466,0
-10.950204,2.87232,0
-10.942606,2.857978,0
-10.934644,2.843445,0
-10.926337,2.828726,0
-10.917703,2.813826,0
-10.908755,2.798752,0
-10.899509,2.783509,0
-10.889978,2.768103,0
-10.880177,2.75254,0
-10.870121,2.736823,0
-10.859823,2.720954,0
-10.849299,2.704937,0
-10.838566,2.688771,0
-10.82764,2.672458,0
-10.816535,2.655997,0
-10.805266,2.639391,0
-10.793845,2.62264,0
-10.782425,2.605889,0
-10.770741,2.588852,0
-10.758938,2.571678,0
-10.747134,2.554504,0
-10.735141,2.537048,0
-10.723062,2.519459,0
-10.710912,2.501733,0
-10.698702,2.483871,0
-10.686445,2.465872,0
-10.674159,2.447733,0
-10.661864,2.429447,0
-10.649587,2.411006,0
-10.637346,2.392406,0
-10.625159,2.373646,0
-10.613043,2.354722,0
-10.601015,2.335631,0
-10.589094,2.316371,0
-10.577173,2.297111,0
-10.573104,2.277505,0
-10.573117,2.257898,0
-10.573205,2.243351,0
-10.572975,2.232517,0
-10.572448,2.224514,0
-10.571975,2.218621,0
-10.571701,2.214294,0
-10.57151,2.21106,0
-10.571332,2.208731,0
-10.571174,2.207016,0
-10.571039,2.205756,0
-10.570933,2.204829,0
-10.57085,2.204149,0
-10.570786,2.20365,0
-10.570722,2.203151,0
-10.570684,2.202882,0
-10.570658,2.202685,0
-10.570638,2.202541,0
-10.570623,2.202434,0
-10.570612,2.202356,0
-10.570604,2.202299,0
-10.570598,2.202257,0
-10.570594,2.202226,0
-10.570591,2.202203,0
-10.570588,2.202187,0
-10.570587,2.202174,0
-10.570585,2.202166,0
-10.570585,2.202159,0
-10.570584,2.202152,0
-10.570583,2.202148,0
-10.570582,2.202146,0
-10.570582,2.202144,0
-10.570582,2.202142,0
-10.570582,2.202141,0
-10.570582,2.202141,0
-10.570582,2.20214,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
-10.570582,2.202139,0
